,"139_20110701",11:17:00 AM,11:17:00 AM,"San Bruno Caltrain",18
,"139_20110701",11:21:00 AM,11:21:00 AM,"So. San Francisco Caltrain",19
,"139_20110701",11:27:00 AM,11:27:00 AM,"Bayshore Caltrain",20
,"139_20110701",11:32:00 AM,11:32:00 AM,"22nd Street Caltrain",21
,"139_20110701",11:41:00 AM,11:41:00 AM,"San Francisco Caltrain",22
,"142_20110701",11:07:00 AM,11:07:00 AM,"San Francisco Caltrain",1
,"142_20110701",11:12:00 AM,11:12:00 AM,"22nd Street Caltrain",2
,"142_20110701",11:17:00 AM,11:17:00 AM,"Bayshore Caltrain",3
,"142_20110701",11:23:00 AM,11:23:00 AM,"So. San Francisco Caltrain",4
,"142_20110701",11:27:00 AM,11:27:00 AM,"San Bruno Caltrain",5
,"142_20110701",11:31:00 AM,11:31:00 AM,"Millbrae Caltrain",6
,"142_20110701",11:35:00 AM,11:35:00 AM,"Burlingame Caltrain",7
,"142_20110701",11:38:00 AM,11:38:00 AM,"San Mateo Caltrain",8
,"142_20110701",11:41:00 AM,11:41:00 AM,"Hayward Park Caltrain",9
,"142_20110701",11:44:00 AM,11:44:00 AM,"Hillsdale Caltrain",10
,"142_20110701",11:47:00 AM,11:47:00 AM,"Belmont Caltrain",11
,"142_20110701",11:50:00 AM,11:50:00 AM,"San Carlos Caltrain",12
,"142_20110701",11:55:00 AM,11:55:00 AM,"Redwood City Caltrain",13
,"142_20110701",12:00:00 PM,12:00:00 PM,"Menlo Park Caltrain",14
,"142_20110701",12:03:00 PM,12:03:00 PM,"Palo Alto Caltrain",15
,"142_20110701",12:07:00 PM,12:07:00 PM,"California Ave Caltrain",16
,"142_20110701",12:11:00 PM,12:11:00 PM,"San Antonio Caltrain",17
,"142_20110701",12:15:00 PM,12:15:00 PM,"Mountain View Caltrain",18
,"142_20110701",12:20:00 PM,12:20:00 PM,"Sunnyvale Caltrain",19
,"142_20110701",12:24:00 PM,12:24:00 PM,"Lawrence Caltrain",20
,"142_20110701",12:29:00 PM,12:29:00 PM,"Santa Clara Caltrain",21
,"142_20110701",12:38:00 PM,12:38:00 PM,"San Jose Caltrain",22
,"143_20110701",11:10:00 AM,11:10:00 AM,"San Jose Caltrain",1
,"143_20110701",11:15:00 AM,11:15:00 AM,"Santa Clara Caltrain",2
